play_id,nflverse_game_id,down,ydstogo,yardline_100,goal_to_go,qtr,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,posteam,defteam,shotgun,no_huddle,qb_dropback,pass_length,pass_location,air_yards,receiver,yards_after_catch,yards_gained,epa,success,wpa,complete_pass,air_epa,possession_team,offense_formation,offense_personnel,route
4441,2020_01_ARI_SF,2.0,10,21,0,4,74,74,74,-4,3,2,SF,ARI,1,0,1,short,middle,5,T.Taylor,0,5,0.003029327,1,0.019002795219421387,1,0.003029327,SF,SHOTGUN,"1 RB, 1 TE, 3 WR",IN
4469,2020_01_ARI_SF,3.0,5,16,0,4,47,47,47,-4,3,2,SF,ARI,1,0,1,deep,right,16,T.Taylor,,0,-1.308106145,0,-0.103191912,0,3.226563543837983,SF,SHOTGUN,"1 RB, 1 TE, 3 WR",HITCH
4508,2020_01_ARI_SF,4.0,5,16,0,4,37,37,37,-4,3,1,SF,ARI,1,0,1,short,right,6,T.Taylor,,0,-2.542085791,0,-0.384291589,0,1.9048715029493906,SF,SHOTGUN,"1 RB, 1 TE, 3 WR",OUT
335,2020_01_CHI_DET,3.0,9,78,0,1,731,1631,3431,0,3,3,DET,CHI,1,0,1,short,right,-1,Q.Cephus,,0,-1.526902722,0,-0.024489105,0,-1.564634635,DET,SHOTGUN,"1 RB, 1 TE, 3 WR",CROSS
152,2020_01_CHI_DET,1.0,10,75,0,1,718,1618,3418,0,3,3,CHI,DET,0,0,1,short,right,-1,J.Graham,,0,-0.642749897,0,-0.017912149,0,-1.096140257,CHI,SINGLEBACK,"1 RB, 3 TE, 1 WR",CROSS
178,2020_01_CHI_DET,2.0,10,75,0,1,713,1613,3413,0,3,3,CHI,DET,1,0,1,short,left,3,A.Robinson,10,13,1.3760885270312428,1,0.039603590965270996,1,-0.556807884,CHI,EMPTY,"0 RB, 1 TE, 4 WR",OUT
237,2020_01_CHI_DET,1.0,10,49,0,1,633,1533,3333,0,3,3,CHI,DET,0,0,1,short,right,12,A.Robinson,0,12,0.769814673,1,0.050293833,1,0.769814673,CHI,I_FORM,"0 RB, 3 TE, 2 WR",POST
306,2020_01_CHI_DET,2.0,7,34,0,1,554,1454,3254,0,3,3,CHI,DET,0,0,1,short,left,14,J.Graham,,0,-0.770934507,0,-0.032668501,0,1.5118001346709207,CHI,SINGLEBACK,"1 RB, 3 TE, 1 WR",OUT
346,2020_01_CHI_DET,3.0,7,34,0,1,549,1449,3249,0,3,3,CHI,DET,1,0,1,short,left,2,J.Graham,,0,-1.633631589,0,-0.061005563,0,-0.917061118,CHI,EMPTY,"1 RB, 1 TE, 3 WR",FLAT
368,2020_01_CHI_DET,4.0,7,34,0,1,542,1442,3242,0,2,3,CHI,DET,1,0,1,deep,middle,17,T.Ginn,,0,-3.245735666,0,-0.058234155,0,4.0919708667788655,CHI,SHOTGUN,"1 RB, 1 TE, 3 WR",IN
424,2020_01_CHI_DET,1.0,10,65,0,1,537,1437,3237,0,3,2,DET,CHI,1,0,1,short,left,4,D.Amendola,,0,-0.541833678,0,-0.014660835,0,-0.095789375,DET,SHOTGUN,"1 RB, 1 TE, 3 WR",OUT
526,2020_01_CHI_DET,1.0,10,31,0,1,488,1388,3188,0,3,2,DET,CHI,0,0,1,short,middle,12,Q.Cephus,8,20,1.083564896369353,1,0.023668348789215088,1,0.7102769550401717,DET,I_FORM,"1 RB, 1 TE, 2 WR,1 LB",IN
573,2020_01_CHI_DET,2.0,8,9,0,1,403,1303,3103,0,3,2,DET,CHI,1,0,1,short,middle,4,Q.Cephus,,0,-0.796341973,0,-0.019731641,0,-0.236442671,DET,SHOTGUN,"1 RB, 1 TE, 3 WR",IN
595,2020_01_CHI_DET,3.0,8,9,0,1,398,1298,3098,0,3,2,DET,CHI,1,0,1,short,middle,9,Q.Cephus,,0,-1.248469092,0,-0.025564969,0,2.8268488828325644,DET,SHOTGUN,"1 RB, 1 TE, 3 WR",POST
689,2020_01_CHI_DET,2.0,4,69,0,1,352,1252,3052,-3,2,3,CHI,DET,0,0,1,short,left,4,D.Montgomery,6,10,0.7308192763011903,1,0.030595154,1,0.3158635355066508,CHI,SINGLEBACK,"1 RB, 1 TE, 3 WR",FLAT
739,2020_01_CHI_DET,2.0,5,54,0,1,272,1172,2972,-3,2,3,CHI,DET,0,0,1,deep,middle,16,D.Mooney,3,19,1.5746003799140453,1,0.085494995,1,1.3785420544445515,CHI,SINGLEBACK,"1 RB, 3 TE, 1 WR",HITCH
827,2020_01_CHI_DET,2.0,7,17,0,1,107,1007,2807,-3,2,3,CHI,DET,1,0,1,deep,right,17,A.Robinson,,0,-0.736441987,0,-0.023599923,0,2.502872200217098,CHI,SHOTGUN,"1 RB, 1 TE, 3 WR",CROSS
849,2020_01_CHI_DET,3.0,7,17,0,1,99,999,2799,-3,2,3,CHI,DET,1,0,1,deep,left,17,A.Miller,,0,-1.045200316,0,-0.045621425,0,3.2393141869688407,CHI,SHOTGUN,"1 RB, 1 TE, 3 WR",GO
937,2020_01_CHI_DET,1.0,20,85,0,1,72,972,2772,0,3,2,DET,CHI,0,0,1,short,right,-1,A.Peterson,9,8,-0.1580516,0,-0.00487417,1,-0.97096755,DET,SINGLEBACK,"1 RB, 1 TE, 3 WR",FLAT
961,2020_01_CHI_DET,2.0,12,77,0,1,33,933,2733,0,3,2,DET,CHI,1,0,1,short,middle,11,D.Amendola,0,11,1.3449108335189521,1,0.031895577907562256,1,1.3449108335189521,DET,SHOTGUN,"1 RB, 1 TE, 3 WR",HITCH
